"id","date"
"3829",2023-06-12
"5877",2023-06-12
"2988",2023-06-12
"2662",2023-06-12
"5381",2023-06-12
"4547",2023-06-12
"2563",2023-06-12
"flag_8",2023-06-12
"901",2023-06-13
"5151",2023-06-13
"275",2023-06-13
"2229",2023-06-13
"1159",2023-06-13
"6808",2023-06-13
"2546",2023-06-13
"4632",2023-06-13
"3427",2023-06-13
"3526",2023-06-13
"42",2023-06-13
"652",2023-06-13
"1997",2023-06-13
"5069",2023-06-14
"1021",2023-06-14
"5030",2023-06-14
"2268",2023-06-14
"2416",2023-06-14
"54",2023-06-14
"untagged_p3_sub17_q1",2023-06-14
"untagged_p3_sub12_q4",2023-06-14
"5657",2023-06-15
"6867",2023-06-15
"2671",2023-06-12
"5115",2023-06-12
"5337",2023-06-12
"2547",2023-06-12
"2508",2023-06-12
"3004",2023-06-12
"4990",2023-06-12
"482",2023-06-12
"4959",2023-06-12
"4414",2023-06-12
"4431",2023-06-12
"5404",2023-06-13
"5176",2023-06-13
"6890",2023-06-13
"5253",2023-06-13
"2438",2023-06-13
"2996",2023-06-13
"1851",2023-06-13
"3071",2023-06-13
"784",2023-06-13
"3785",2023-06-13
"421",2023-06-13
"818",2023-06-13
"5488",2023-06-14
"4250",2023-06-14
"5184",2023-06-14
"141",2023-06-14
"774",2023-06-14
"5479",2023-06-14
"3643",2023-06-14
"3993",2023-06-15
"631",2023-06-15
"flag2_mai",2023-06-15
"2215",2023-06-15
NA,2023-06-12
NA,2023-06-12
"4177",2023-06-12
"7147",2023-06-12
"43",2023-06-12
"1374",2023-06-12
"4844",2023-06-13
"4871",2023-06-13
"2666",2023-06-13
"5077",2023-06-13
"4874",2023-06-13
"2302",2023-06-13
"4859",2023-06-13
"3581",2023-06-13
"179",2023-06-14
"2131_tri",2023-06-14
"511",2023-06-14
"untagged_p3_sub22_q4",2023-06-14
"6558",2023-06-14
"1686",2023-06-14
"1926",2023-06-14
"2616",2023-06-15
"1476",2023-06-15
"4781",2023-06-15
"flag2_tri",2023-06-12
"flag3_tri",2023-06-12
